instance_id,scale,CF_level,operation_count,method,display_method,seed_count,median_rpd_percent,median_runtime_seconds,median_runtime_budget_fraction,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_decoder_evaluations
CB1_CORE_L_CF1_R05,L,CF1,171,CSG-NI Phase6H provisional,CSG-NI,5,1.3643254168772108,342.00907621200895,1.0000265386316052,84.05282072001137,0.24576848163746015,15920.0
CB1_CORE_L_CF1_R05,L,CF1,171,DABC-RIACRSP,DABC,5,30.520464881253158,342.007495347003,1.000021916219307,324.0456364050042,0.9475018608333455,16479.0
CB1_CORE_L_CF1_R05,L,CF1,171,GA,GA,5,17.913087417887823,342.01767522699083,1.0000516819502656,338.4466584860056,0.9896101125321801,10018.0
CB1_CORE_L_CF1_R05,L,CF1,171,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,20.13643254168772,58.233687175030354,0.1702739391082759,57.087737523019314,0.1669232091316354,4140.0
CB1_CORE_L_CF2_R01,L,CF2,195,Adapted DCGA,DCGA,5,31.35742617893345,390.1391892640095,1.0003568955487423,173.30177049600752,0.444363514092327,2568.0
CB1_CORE_L_CF2_R01,L,CF2,195,CSG-NI Phase6H provisional,CSG-NI,5,2.1595416483032173,390.0454957030015,1.0001166556487218,96.35226519400021,0.24705709024102618,15450.0
CB1_CORE_L_CF2_R01,L,CF2,195,DABC-RIACRSP,DABC,5,27.47906566769502,390.0054820740479,1.0000140566001228,358.00485560600646,0.9179611682205294,15316.0
CB1_CORE_L_CF2_R01,L,CF2,195,GA,GA,5,19.193477302776554,390.0148248979822,1.0000380125589288,379.45923683498404,0.9729724021409847,7931.0
CB1_CORE_L_CF2_R01,L,CF2,195,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,23.049801674746586,73.3270499240025,0.18801807672821153,70.10925061698072,0.17976730927430953,4140.0
CB1_CORE_L_CF2_R02,L,CF2,183,Adapted DCGA,DCGA,5,33.15619223659889,366.20704893098446,1.0005657074617063,261.1845211299951,0.7136189101912435,2698.0
CB1_CORE_L_CF2_R02,L,CF2,183,CSG-NI Phase6H provisional,CSG-NI,5,1.478743068391867,366.04234555602307,1.0001156982405002,5.561356471967883,0.015194963038163615,15930.0
CB1_CORE_L_CF2_R02,L,CF2,183,DABC-RIACRSP,DABC,5,21.141404805914974,366.0030477780383,1.0000083272623999,345.5552523850347,0.9441400338388926,15854.0
CB1_CORE_L_CF2_R02,L,CF2,183,GA,GA,5,14.995378927911275,366.02710605299217,1.000074060254077,349.33541097998386,0.9544683360108849,8151.0
CB1_CORE_L_CF2_R02,L,CF2,183,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,12.89279112754159,66.06107432104181,0.18049473858208145,63.91615421802271,0.17463430114213854,4140.0
CB1_CORE_L_CF2_R03,L,CF2,184,Adapted DCGA,DCGA,5,29.199491740787803,368.2317892299907,1.000629862038018,200.15588653399027,0.5439018655814953,2676.0
CB1_CORE_L_CF2_R03,L,CF2,184,CSG-NI Phase6H provisional,CSG-NI,5,0.05082592121982211,368.04329765198054,1.0001176566629906,0.8693196109961718,0.002362281551620032,15829.0
CB1_CORE_L_CF2_R03,L,CF2,184,DABC-RIACRSP,DABC,5,21.270648030495554,368.00554689002456,1.000015073070719,314.0251763520064,0.8533292835652347,15303.0
CB1_CORE_L_CF2_R03,L,CF2,184,GA,GA,5,12.808132147395172,368.0363124680007,1.0000986751847845,350.5362361980078,0.9525441201032822,8031.0
