Method,Instance,Scale,CF,Best,Mean,Median,Std,Mean RPD (%),Median RPD (%),Rank,Attains BKS
GA,CB1_CORE_S_CF1_R03,S,CF1,1689,1761.60,1771.00,51.41,4.298,4.855,2.00,True
DCGA,CB1_CORE_S_CF1_R03,S,CF1,1920,1939.80,1943.00,13.37,14.849,15.038,5.00,False
DABC,CB1_CORE_S_CF1_R03,S,CF1,1742,1782.20,1778.00,43.03,5.518,5.269,3.00,False
LG_HGA,CB1_CORE_S_CF1_R03,S,CF1,1762,1813.20,1818.00,31.19,7.353,7.638,4.00,False
CSG-NI,CB1_CORE_S_CF1_R03,S,CF1,1706,1742.00,1747.00,27.40,3.138,3.434,1.00,False
GA,CB1_CORE_S_CF1_R04,S,CF1,1847,1889.20,1891.00,31.48,2.285,2.382,1.00,True
DCGA,CB1_CORE_S_CF1_R04,S,CF1,1973,2031.80,2045.00,43.64,10.005,10.720,5.00,False
DABC,CB1_CORE_S_CF1_R04,S,CF1,1898,1940.20,1932.00,40.44,5.046,4.602,2.00,False
LG_HGA,CB1_CORE_S_CF1_R04,S,CF1,1857,1945.40,1961.00,89.01,5.328,6.172,4.00,False
CSG-NI,CB1_CORE_S_CF1_R04,S,CF1,1864,1943.00,1943.00,52.52,5.198,5.198,3.00,False
GA,CB1_CORE_S_CF1_R05,S,CF1,1640,1670.40,1671.00,22.41,1.854,1.890,1.00,True
DCGA,CB1_CORE_S_CF1_R05,S,CF1,1753,1769.00,1765.00,16.75,7.866,7.622,5.00,False
DABC,CB1_CORE_S_CF1_R05,S,CF1,1645,1690.40,1701.00,28.46,3.073,3.720,3.00,False
LG_HGA,CB1_CORE_S_CF1_R05,S,CF1,1651,1715.80,1685.00,81.31,4.622,2.744,2.00,False
CSG-NI,CB1_CORE_S_CF1_R05,S,CF1,1649,1695.00,1707.00,36.95,3.354,4.085,4.00,False
GA,CB1_CORE_S_CF2_R01,S,CF2,1900,1960.20,1963.00,39.23,4.155,4.304,3.00,False
DCGA,CB1_CORE_S_CF2_R01,S,CF2,2044,2077.00,2084.00,19.79,10.361,10.733,5.00,False
DABC,CB1_CORE_S_CF2_R01,S,CF2,1974,2003.80,1993.00,35.31,6.472,5.898,4.00,False
LG_HGA,CB1_CORE_S_CF2_R01,S,CF2,1901,1986.00,1947.00,98.56,5.526,3.454,2.00,False
CSG-NI,CB1_CORE_S_CF2_R01,S,CF2,1882,1923.60,1934.00,23.26,2.210,2.763,1.00,True
GA,CB1_CORE_S_CF2_R02,S,CF2,1515,1609.40,1610.00,66.69,6.231,6.271,1.00,True
DCGA,CB1_CORE_S_CF2_R02,S,CF2,1840,1865.20,1858.00,24.71,23.116,22.640,5.00,False
DABC,CB1_CORE_S_CF2_R02,S,CF2,1637,1677.40,1682.00,25.66,10.719,11.023,3.00,False
LG_HGA,CB1_CORE_S_CF2_R02,S,CF2,1642,1687.20,1703.00,37.93,11.366,12.409,4.00,False
CSG-NI,CB1_CORE_S_CF2_R02,S,CF2,1603,1659.80,1674.00,31.75,9.558,10.495,2.00,False
GA,CB1_CORE_S_CF2_R03,S,CF2,1580,1664.20,1685.00,52.07,5.329,6.646,1.00,True
DCGA,CB1_CORE_S_CF2_R03,S,CF2,1774,1802.40,1800.00,23.44,14.076,13.924,5.00,False
DABC,CB1_CORE_S_CF2_R03,S,CF2,1688,1708.60,1695.00,23.78,8.139,7.278,2.00,False
LG_HGA,CB1_CORE_S_CF2_R03,S,CF2,1671,1741.20,1738.00,64.87,10.203,10.000,4.00,False
CSG-NI,CB1_CORE_S_CF2_R03,S,CF2,1659,1722.60,1717.00,47.13,9.025,8.671,3.00,False
GA,CB1_CORE_S_CF2_R04,S,CF2,1677,1720.40,1729.00,37.26,4.520,5.043,1.00,False
DCGA,CB1_CORE_S_CF2_R04,S,CF2,1840,1898.80,1901.00,41.54,15.358,15.492,5.00,False
DABC,CB1_CORE_S_CF2_R04,S,CF2,1662,1749.40,1759.00,80.26,6.282,6.865,3.00,False
LG_HGA,CB1_CORE_S_CF2_R04,S,CF2,1646,1765.60,1781.00,70.49,7.266,8.202,4.00,True
CSG-NI,CB1_CORE_S_CF2_R04,S,CF2,1692,1755.20,1754.00,52.43,6.634,6.561,2.00,False
GA,CB1_CORE_S_CF2_R05,S,CF2,1593,1648.00,1648.00,46.28,3.453,3.453,3.00,True
DCGA,CB1_CORE_S_CF2_R05,S,CF2,1937,1954.20,1953.00,11.34,22.674,22.599,5.00,False
DABC,CB1_CORE_S_CF2_R05,S,CF2,1598,1632.60,1632.00,23.60,2.486,2.448,2.00,False
LG_HGA,CB1_CORE_S_CF2_R05,S,CF2,1598,1629.00,1623.00,31.93,2.260,1.883,1.00,False
CSG-NI,CB1_CORE_S_CF2_R05,S,CF2,1601,1662.80,1654.00,50.50,4.382,3.829,4.00,False
GA,CB1_CORE_S_CF3_R01,S,CF3,1581,1611.00,1613.00,29.50,5.778,5.909,4.00,False
DCGA,CB1_CORE_S_CF3_R01,S,CF3,1737,1765.40,1772.00,18.24,15.916,16.349,5.00,False
DABC,CB1_CORE_S_CF3_R01,S,CF3,1566,1591.60,1592.00,26.76,4.504,4.531,2.00,False
LG_HGA,CB1_CORE_S_CF3_R01,S,CF3,1523,1597.20,1563.00,75.27,4.872,2.626,1.00,True
CSG-NI,CB1_CORE_S_CF3_R01,S,CF3,1551,1601.60,1603.00,31.08,5.161,5.253,3.00,False
GA,CB1_CORE_S_CF3_R02,S,CF3,1681,1702.60,1700.00,22.19,1.285,1.130,1.00,True
DCGA,CB1_CORE_S_CF3_R02,S,CF3,1857,1871.00,1872.00,11.90,11.303,11.362,5.00,False
DABC,CB1_CORE_S_CF3_R02,S,CF3,1732,1761.20,1769.00,17.60,4.771,5.235,3.00,False
LG_HGA,CB1_CORE_S_CF3_R02,S,CF3,1771,1810.80,1811.00,33.63,7.722,7.733,4.00,False
CSG-NI,CB1_CORE_S_CF3_R02,S,CF3,1743,1758.20,1754.00,14.65,4.593,4.343,2.00,False
GA,CB1_CORE_S_CF3_R03,S,CF3,1703,1751.20,1763.00,37.16,2.830,3.523,1.00,True
DCGA,CB1_CORE_S_CF3_R03,S,CF3,1895,1952.60,1959.00,36.72,14.656,15.032,5.00,False
DABC,CB1_CORE_S_CF3_R03,S,CF3,1837,1865.80,1858.00,30.60,9.560,9.102,4.00,False
LG_HGA,CB1_CORE_S_CF3_R03,S,CF3,1807,1834.20,1844.00,26.05,7.704,8.280,2.00,False
CSG-NI,CB1_CORE_S_CF3_R03,S,CF3,1786,1848.60,1848.00,42.02,8.550,8.514,3.00,False
GA,CB1_CORE_S_CF3_R04,S,CF3,1435,1504.60,1514.00,55.02,7.242,7.912,1.00,False
DCGA,CB1_CORE_S_CF3_R04,S,CF3,1710,1768.20,1778.00,39.40,26.030,26.728,5.00,False
DABC,CB1_CORE_S_CF3_R04,S,CF3,1443,1557.80,1558.00,84.79,11.033,11.048,4.00,False
LG_HGA,CB1_CORE_S_CF3_R04,S,CF3,1403,1528.60,1549.00,80.74,8.952,10.406,3.00,True
CSG-NI,CB1_CORE_S_CF3_R04,S,CF3,1494,1532.20,1544.00,21.71,9.209,10.050,2.00,False
GA,CB1_CORE_S_CF3_R05,S,CF3,1510,1541.20,1522.00,40.17,3.506,2.216,2.00,False
DCGA,CB1_CORE_S_CF3_R05,S,CF3,1694,1713.40,1711.00,16.65,15.071,14.909,5.00,False
DABC,CB1_CORE_S_CF3_R05,S,CF3,1565,1589.20,1588.00,21.14,6.729,6.649,4.00,False
LG_HGA,CB1_CORE_S_CF3_R05,S,CF3,1489,1544.80,1518.00,70.27,3.747,1.948,1.00,True
CSG-NI,CB1_CORE_S_CF3_R05,S,CF3,1551,1583.40,1579.00,27.80,6.340,6.044,3.00,False
