algorithm,instance_id,seed,scale,CF_level,cell_replicate,num_operations,budget_seconds,final_makespan,bks_v001_makespan,rpd_v001_percent,feasible,runtime_seconds,best_found_seconds,decoder_evaluations,iterations
NGAS_A1_6R,CB1_CAUR_M_CF1_RI2_TI2_R12,746102,M,CF1,C01,114,228.0,2682.0,2743.0,-2.2238425082026976,True,228.00694659998408,225.41282403998775,34430,4304
NGAS_A1_6R,CB1_CAUR_M_CF1_RI2_TI2_R12,746103,M,CF1,C01,114,228.0,2587.0,2743.0,-5.687203791469194,True,228.004686278,199.92986457701772,34414,4302
NGAS_A1_6R,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746101,M,CF1,C02,117,234.0,2731.0,2772.0,-1.479076479076479,True,234.00276088400278,223.31580512900837,33253,4157
NGAS_A1_6R,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746102,M,CF1,C02,117,234.0,2802.0,2772.0,1.0822510822510822,True,234.00612360896775,46.47026008594548,33652,4207
NGAS_A1_6R,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,746103,M,CF1,C02,117,234.0,2723.0,2772.0,-1.7676767676767677,True,234.00682065304136,182.27542227803497,34320,4290
NGAS_A1_6R,CB1_CAUR_M_CF2_RI2_TI2_R12,746101,M,CF2,C01,122,244.0,2874.0,2782.0,3.3069734004313442,True,244.00498889497248,192.91923657996813,33056,4132
NGAS_A1_6R,CB1_CAUR_M_CF2_RI2_TI2_R12,746102,M,CF2,C01,122,244.0,2935.0,2782.0,5.499640546369518,True,244.00226215895964,63.869742809969466,32591,4074
NGAS_A1_6R,CB1_CAUR_M_CF2_RI2_TI2_R12,746103,M,CF2,C01,122,244.0,2854.0,2782.0,2.5880661394680087,True,244.00378799199825,170.82638151600258,33177,4147
NGAS_A1_6R,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746101,M,CF2,C02,127,254.0,3666.0,3658.0,0.21869874248223073,True,254.00640536600258,175.45374694396742,32248,4031
NGAS_A1_6R,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746102,M,CF2,C02,127,254.0,3651.0,3658.0,-0.1913613996719519,True,254.0073301460361,209.11798292503227,31705,3963
NGAS_A1_6R,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,746103,M,CF2,C02,127,254.0,3684.0,3658.0,0.7107709130672498,True,254.00627662299667,246.5412587329629,32763,4096
NGAS_A1_6R,CB1_CAUR_M_CF3_RI2_TI2_R12,746101,M,CF3,C01,118,236.0,2795.0,2639.0,5.911330049261084,True,236.00204821495572,228.691281271982,33803,4226
NGAS_A1_6R,CB1_CAUR_M_CF3_RI2_TI2_R12,746102,M,CF3,C01,118,236.0,2748.0,2639.0,4.130352406214475,True,236.00260979600716,214.51566282100976,33747,4219
