slice_dimension,slice_value,k,states,exact_best_recall,near_best_recall_epsilon_0_0025,near_best_recall_epsilon_0_005,near_best_recall_epsilon_0_010,oracle_shortlist_selected_lift,oracle_shortlist_regret,positive_opportunity_states,fallback_beating_candidate_present,mean_topk_origin_family_diversity,phase6n_phase6l_mean_topk_overlap,overlap_states
search_stage,20-40%,6,108,0.4351851851851852,0.5092592592592593,0.5648148148148148,0.6388888888888888,0.0316224487804505,0.00880066182486357,105,0.9238095238095239,3.3425925925925926,0.49537037037037035,36
search_stage,20-40%,8,108,0.5462962962962963,0.6111111111111112,0.6574074074074074,0.75,0.03395492340223257,0.00646818720308149,105,0.9619047619047619,3.824074074074074,0.5868055555555556,36
search_stage,40-60%,1,216,0.10648148148148148,0.1111111111111111,0.16203703703703703,0.20833333333333334,0.006617421798708175,0.03575124109038468,209,0.569377990430622,1.0,0.20833333333333334,72
search_stage,40-60%,2,216,0.23148148148148148,0.24074074074074073,0.2824074074074074,0.35185185185185186,0.02066609101788721,0.021702571871205643,209,0.7990430622009569,1.625,0.3472222222222222,72
search_stage,40-60%,3,216,0.3055555555555556,0.3287037037037037,0.3611111111111111,0.4722222222222222,0.026471550292926447,0.01589711259616641,209,0.8803827751196173,2.1203703703703702,0.43981481481481477,72
search_stage,40-60%,4,216,0.3611111111111111,0.3888888888888889,0.4305555555555556,0.5509259259259259,0.030151705574789852,0.012216957314303003,209,0.9282296650717703,2.5925925925925926,0.4722222222222222,72
search_stage,40-60%,6,216,0.4675925925925926,0.5092592592592593,0.5509259259259259,0.6620370370370371,0.033407072041831076,0.00896159084726178,209,0.9617224880382775,3.25,0.5439814814814815,72
search_stage,40-60%,8,216,0.5370370370370371,0.5694444444444444,0.6342592592592593,0.7175925925925926,0.035244109262156806,0.007124553626936044,209,0.9808612440191388,3.7546296296296298,0.6388888888888888,72
search_stage,60-80%,1,108,0.08333333333333333,0.10185185185185185,0.1111111111111111,0.1574074074074074,0.012238552803272391,0.030441275746519007,106,0.6981132075471698,1.0,0.3055555555555556,36
search_stage,60-80%,2,108,0.18518518518518517,0.21296296296296297,0.25925925925925924,0.3055555555555556,0.0225466327095297,0.0201331958402617,106,0.8301886792452831,1.5277777777777777,0.3888888888888889,36
search_stage,60-80%,3,108,0.24074074074074073,0.26851851851851855,0.3425925925925926,0.4351851851851852,0.027177114424768105,0.015502714125023291,106,0.8679245283018868,2.1574074074074074,0.4444444444444444,36
search_stage,60-80%,4,108,0.2962962962962963,0.3333333333333333,0.39814814814814814,0.5185185185185185,0.030023984269429517,0.012655844280361879,106,0.9056603773584906,2.6203703703703702,0.4861111111111111,36
search_stage,60-80%,6,108,0.37037037037037035,0.4166666666666667,0.5,0.6203703703703703,0.03364465251744612,0.00903517603234528,106,0.9433962264150944,3.2685185185185186,0.537037037037037,36
search_stage,60-80%,8,108,0.4351851851851852,0.49074074074074076,0.5648148148148148,0.6851851851851852,0.03490538635111186,0.0077744421986795376,106,0.9433962264150944,3.8055555555555554,0.6215277777777778,36
search_stage,80-100%,1,216,0.10648148148148148,0.11574074074074074,0.13425925925925927,0.18518518518518517,0.005810074151516607,0.036019640963822805,202,0.5792079207920792,1.0,0.3194444444444444,72
search_stage,80-100%,2,216,0.18518518518518517,0.2037037037037037,0.22685185185185186,0.3101851851851852,0.01817614799228579,0.023653567123053623,202,0.7376237623762376,1.6898148148148149,0.3472222222222222,72
search_stage,80-100%,3,216,0.2824074074074074,0.3055555555555556,0.3148148148148148,0.4212962962962963,0.02485573307929542,0.016973982036043993,202,0.8415841584158416,2.175925925925926,0.41666666666666663,72
search_stage,80-100%,4,216,0.33796296296296297,0.37037037037037035,0.3888888888888889,0.5,0.028330928710931055,0.01349878640440836,202,0.8861386138613861,2.634259259259259,0.4756944444444444,72
search_stage,80-100%,6,216,0.4074074074074074,0.4537037037037037,0.47685185185185186,0.6064814814814815,0.031191746711886174,0.010637968403453237,202,0.9108910891089109,3.310185185185185,0.537037037037037,72
search_stage,80-100%,8,216,0.4861111111111111,0.5370370370370371,0.5509259259259259,0.6898148148148148,0.03346271504717978,0.00836700006815963,202,0.9455445544554455,3.8055555555555554,0.5954861111111112,72
