method,instance_id,instance_relative_path,scale,CF_level,RI_level,TI_level,seed,time_limit_seconds,final_best,time_to_best,evals_to_best,total_runtime,total_decoder_evals,initialization_seconds,iterations,feasible,model_load_seconds,policy_sha256
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671302.0,258.0,3631.0,2.106573466968257,145,258.00090433098376,19416,0.20881838398054242,2427,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671303.0,258.0,3626.0,182.7146209970233,13833,258.03533043398056,19490,0.20630373700987548,2437,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671304.0,258.0,3586.0,122.05530631699366,9201,258.0853610219783,19386,0.20031022396869957,2424,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_M_CF3_RI2_TI2_R08,cal_holdout/CB1_CAL_M_CF3_RI2_TI2_R08.json,M,CF3,RI2,TI2,671305.0,258.0,3702.0,232.29973065899685,17593,258.0267986560357,19522,0.20891962404130027,2441,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671301.0,118.0,1527.0,95.13027929398231,15761,118.00403626397019,19442,0.021420488017611206,2431,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671302.0,118.0,1547.0,61.15610446903156,10225,118.02442210202571,19770,0.02170354302506894,2472,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671303.0,118.0,1515.0,91.47467172303004,15145,118.00592253397917,19562,0.02093141700606793,2446,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671304.0,118.0,1533.0,105.68037917901529,17641,118.00666291097878,19698,0.022225023014470935,2463,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF1_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF1_RI2_TI2_R08.json,S,CF1,RI2,TI2,671305.0,118.0,1560.0,81.1454200349981,13601,118.02140984300058,19658,0.02112847100943327,2458,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671301.0,110.0,1388.0,63.72816293401411,11017,110.00084247800987,19063,0.01893332798499614,2383,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671302.0,110.0,1347.0,84.4464176739566,14513,110.01345216098707,18890,0.019372938957531005,2362,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671303.0,110.0,1349.0,92.53027061198372,16113,110.02823171496857,19162,0.01919207494938746,2396,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671304.0,110.0,1297.0,54.800676363985986,9553,110.0052209830028,19154,0.019102917984128,2395,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
PHASE6H_CSGNI,CB1_CAL_S_CF2_RI2_TI2_R08,cal_holdout/CB1_CAL_S_CF2_RI2_TI2_R08.json,S,CF2,RI2,TI2,671305.0,110.0,1387.0,68.87314046698157,11873,110.01157626998611,18994,0.019905566005036235,2375,True,0.12759939901297912,4d2da03e13a036569bebf3897135e5da139e292e3260a2f452754d5c9ae3d239
