instance,instance_seed,level,split,group,ppo_seed,bc_makespan,ppo_makespan,bc_o_ppo_mwf,ppo_o_bc_mwf,bc_om_ppo_wf,ppo_om_bc_wf,bc_omw_ppo_f,ppo_omw_bc_f,all_feasible
synthetic_L_73015,73015,L,phase5b_holdout,L,510102,5083.0,4688.0,3289.0,4860.0,3168.0,4882.0,3726.0,4432.0,True
synthetic_L_73016,73016,L,phase5b_holdout,L,510102,4465.0,3989.0,4143.0,3393.0,4742.0,3273.0,4285.0,3989.0,True
synthetic_L_73017,73017,L,phase5b_holdout,L,510102,11528.0,11489.0,12191.0,12143.0,7694.0,9121.0,9050.0,11642.0,True
synthetic_L_73018,73018,L,phase5b_holdout,L,510102,6076.0,5018.0,6024.0,4293.0,6015.0,4515.0,6054.0,4534.0,True
synthetic_L_73019,73019,L,phase5b_holdout,L,510102,2704.0,2588.0,2817.0,2729.0,2645.0,2674.0,2800.0,2682.0,True
synthetic_L_73020,73020,L,phase5b_holdout,L,510102,4497.0,4351.0,4418.0,5660.0,4340.0,6014.0,4494.0,4578.0,True
synthetic_M_74001,74001,M,phase5b_structural,high_reconfiguration,510102,1098.0,1170.0,1207.0,973.0,1017.0,1260.0,1017.0,1286.0,True
synthetic_M_74002,74002,M,phase5b_structural,high_reconfiguration,510102,1596.0,1467.0,1428.0,1500.0,1691.0,1370.0,1691.0,1544.0,True
synthetic_M_74003,74003,M,phase5b_structural,high_reconfiguration,510102,715.0,651.0,612.0,634.0,677.0,829.0,640.0,708.0,True
synthetic_M_74004,74004,M,phase5b_structural,high_reconfiguration,510102,1634.0,1198.0,1277.0,1387.0,1446.0,1238.0,1618.0,1238.0,True
synthetic_M_74005,74005,M,phase5b_structural,high_reconfiguration,510102,1731.0,1805.0,1696.0,1891.0,1731.0,1805.0,1731.0,1805.0,True
synthetic_M_74006,74006,M,phase5b_structural,high_reconfiguration,510102,974.0,898.0,927.0,927.0,1026.0,916.0,1026.0,916.0,True
synthetic_M_74007,74007,M,phase5b_structural,high_reconfiguration,510102,1024.0,1012.0,1078.0,1048.0,1026.0,1046.0,1026.0,1046.0,True
synthetic_M_74008,74008,M,phase5b_structural,high_reconfiguration,510102,1642.0,1553.0,1561.0,1479.0,1472.0,1411.0,1513.0,1498.0,True
synthetic_M_74009,74009,M,phase5b_structural,high_reconfiguration,510102,591.0,760.0,777.0,613.0,651.0,607.0,651.0,760.0,True
synthetic_M_74010,74010,M,phase5b_structural,high_reconfiguration,510102,771.0,869.0,783.0,833.0,787.0,857.0,787.0,857.0,True
synthetic_M_74001,74001,M,phase5b_structural,high_travel,510102,1976.0,1960.0,2092.0,1878.0,1981.0,2189.0,1981.0,2085.0,True
synthetic_M_74002,74002,M,phase5b_structural,high_travel,510102,2885.0,2807.0,2325.0,2498.0,2711.0,2596.0,2711.0,2669.0,True
synthetic_M_74003,74003,M,phase5b_structural,high_travel,510102,1043.0,845.0,856.0,991.0,973.0,997.0,1072.0,874.0,True
synthetic_M_74004,74004,M,phase5b_structural,high_travel,510102,2844.0,2109.0,2112.0,2259.0,2227.0,2106.0,2602.0,2106.0,True
synthetic_M_74005,74005,M,phase5b_structural,high_travel,510102,3116.0,3259.0,3026.0,3187.0,3116.0,3103.0,3116.0,3259.0,True
synthetic_M_74006,74006,M,phase5b_structural,high_travel,510102,1698.0,1615.0,1656.0,1639.0,1781.0,1655.0,1781.0,1655.0,True
synthetic_M_74007,74007,M,phase5b_structural,high_travel,510102,1856.0,1716.0,1664.0,1751.0,1887.0,1914.0,1887.0,1914.0,True
synthetic_M_74008,74008,M,phase5b_structural,high_travel,510102,2652.0,2502.0,2568.0,2266.0,2537.0,2548.0,2537.0,2481.0,True
synthetic_M_74009,74009,M,phase5b_structural,high_travel,510102,1218.0,1143.0,1237.0,1070.0,1267.0,1000.0,1267.0,1148.0,True
synthetic_M_74010,74010,M,phase5b_structural,high_travel,510102,1342.0,1563.0,1335.0,1528.0,1402.0,1563.0,1402.0,1563.0,True
synthetic_M_74001,74001,M,phase5b_structural,fleet_scarcity,510102,1764.0,1805.0,1768.0,1809.0,1764.0,1805.0,1764.0,1805.0,True
